id,make,model,trim,model_year,available_from_year,available_to_year,uk_market_status,body_style,segment,powertrain,fuel_type,purchase_price_gbp,efficiency_value,efficiency_unit,battery_kwh,tailpipe_gco2_per_km,manufacturing_gco2e_kg,annual_maintenance_gbp,insurance_group,depreciation_3yr_pct,source_note
tesla-model-3-rwd,Tesla,Model 3,RWD,2024,2021,2026,current,saloon,compact-executive,EV,electric,39990,14.4,kwh_per_100km,57,0,9800,360,48,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
tesla-model-3-long-range,Tesla,Model 3,Long Range AWD,2024,2021,2026,current,saloon,compact-executive,EV,electric,49990,15.2,kwh_per_100km,75,0,11200,390,50,0.47,Curated UK demo trim estimate using public model range and WLTP style assumptions
tesla-model-y-rwd,Tesla,Model Y,RWD,2024,2022,2026,current,suv,crossover,EV,electric,44990,15.7,kwh_per_100km,60,0,10800,385,46,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
tesla-model-y-long-range-rwd,Tesla,Model Y,Long Range RWD,2024,2024,2025,used,suv,crossover,EV,electric,46990,14.9,kwh_per_100km,75,0,11100,390,48,0.45,Curated UK demo trim estimate cross-checked against public 2024 UK Model Y range references
tesla-model-y-long-range-awd,Tesla,Model Y,Long Range AWD,2024,2022,2026,current,suv,crossover,EV,electric,51990,16.1,kwh_per_100km,75,0,11600,410,50,0.46,Curated UK demo trim estimate cross-checked against public 2024 UK Model Y range references
tesla-model-y-performance-awd,Tesla,Model Y,Performance AWD,2024,2022,2025,used,suv,crossover,EV,electric,59990,17.3,kwh_per_100km,75,0,11800,440,50,0.48,Curated UK demo trim estimate cross-checked against public 2024 UK Model Y range references
hyundai-ioniq-5-rwd,Hyundai,Ioniq 5,Premium RWD,2023,2021,2026,current,crossover,crossover,EV,electric,43000,16.9,kwh_per_100km,77,0,11200,390,38,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
hyundai-kona-electric-ultimate,Hyundai,Kona Electric,Ultimate 65kWh,2024,2018,2026,current,crossover,crossover,EV,electric,38000,14.7,kwh_per_100km,65,0,9600,340,33,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
kia-niro-ev,Kia,Niro EV,3,2023,2019,2026,current,crossover,crossover,EV,electric,37500,16.2,kwh_per_100km,64,0,9500,355,31,0.44,Curated UK demo trim estimate using public model range and WLTP style assumptions
kia-ev6-air-rwd,Kia,EV6,Air RWD,2024,2021,2026,current,crossover,crossover,EV,electric,45995,16.5,kwh_per_100km,77,0,11300,390,39,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
mg4-ev-long-range,MG,MG4 EV,SE Long Range,2024,2022,2026,current,hatchback,hatchback,EV,electric,26995,16.0,kwh_per_100km,64,0,8900,310,29,0.42,Curated UK demo trim estimate using public model range and WLTP style assumptions
mg4-ev-trophy,MG,MG4 EV,Trophy Long Range,2024,2022,2026,current,hatchback,hatchback,EV,electric,32995,16.6,kwh_per_100km,64,0,9000,330,30,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
nissan-leaf-tekna,Nissan,Leaf,Tekna 59kWh,2021,2016,2024,used,hatchback,hatchback,EV,electric,28995,17.1,kwh_per_100km,59,0,8600,325,25,0.50,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-id3-pro,Volkswagen,ID.3,Pro Match,2024,2020,2026,current,hatchback,hatchback,EV,electric,37950,15.5,kwh_per_100km,58,0,9100,345,28,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-id4-match,Volkswagen,ID.4,Match Pro,2024,2021,2026,current,suv,crossover,EV,electric,44440,16.8,kwh_per_100km,77,0,11100,385,34,0.47,Curated UK demo trim estimate using public model range and WLTP style assumptions
bmw-i4-edrive40,BMW,i4,eDrive40 M Sport,2024,2021,2026,current,gran-coupe,compact-executive,EV,electric,51900,16.1,kwh_per_100km,84,0,12800,470,36,0.49,Curated UK demo trim estimate using public model range and WLTP style assumptions
bmw-ix1-edrive20,BMW,iX1,eDrive20 Sport,2024,2022,2026,current,suv,crossover,EV,electric,46205,16.7,kwh_per_100km,65,0,11200,420,35,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
cupra-born-v2,Cupra,Born,V2 58kWh,2024,2021,2026,current,hatchback,hatchback,EV,electric,36500,15.8,kwh_per_100km,58,0,9200,340,28,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
renault-zoe-r135-iconic,Renault,Zoe,R135 Iconic,2020,2016,2022,used,hatchback,supermini,EV,electric,28500,17.2,kwh_per_100km,52,0,8100,305,22,0.53,Curated UK demo trim estimate using public model range and WLTP style assumptions
peugeot-e208-gt,Peugeot,e-208,GT 51kWh,2024,2020,2026,current,hatchback,supermini,EV,electric,32500,15.4,kwh_per_100km,51,0,8400,315,26,0.44,Curated UK demo trim estimate using public model range and WLTP style assumptions
vauxhall-corsa-electric-gs,Vauxhall,Corsa Electric,GS 51kWh,2024,2020,2026,current,hatchback,supermini,EV,electric,32000,15.7,kwh_per_100km,51,0,8350,310,25,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
fiat-500e-la-prima,Fiat,500e,La Prima 42kWh,2022,2020,2026,current,hatchback,city-car,EV,electric,30000,14.0,kwh_per_100km,42,0,7600,280,24,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
mini-electric-level-2,MINI,Electric,Level 2,2022,2020,2024,used,hatchback,supermini,EV,electric,29000,15.8,kwh_per_100km,33,0,7700,305,27,0.49,Curated UK demo trim estimate using public model range and WLTP style assumptions
polestar-2-long-range,Polestar,2,Long Range Single Motor,2024,2020,2026,current,fastback,compact-executive,EV,electric,44950,16.6,kwh_per_100km,82,0,12300,430,37,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
skoda-enyaq-85-edition,Skoda,Enyaq,85 Edition,2024,2021,2026,current,suv,crossover,EV,electric,44825,16.4,kwh_per_100km,82,0,11600,385,32,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
audi-q4-etron-sport,Audi,Q4 e-tron,45 Sport,2024,2021,2026,current,suv,crossover,EV,electric,49915,17.0,kwh_per_100km,77,0,11900,450,36,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
mercedes-eqa-250-amg-line,Mercedes-Benz,EQA,250+ AMG Line,2024,2021,2026,current,suv,crossover,EV,electric,52900,16.9,kwh_per_100km,70,0,11800,455,37,0.49,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-golf-etsi,Volkswagen,Golf,1.5 eTSI Life DSG,2024,2019,2026,current,hatchback,hatchback,Petrol,petrol,29200,5.6,litres_per_100km,0,126,6100,560,21,0.41,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-golf-gti,Volkswagen,Golf,GTI DSG,2023,2016,2026,current,hatchback,hatchback,Petrol,petrol,38500,7.0,litres_per_100km,0,160,6600,710,29,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-polo-tsi-life,Volkswagen,Polo,1.0 TSI Life,2023,2016,2026,current,hatchback,supermini,Petrol,petrol,20500,5.3,litres_per_100km,0,121,5200,470,12,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
ford-focus-ecoboost,Ford,Focus,1.0 EcoBoost Titanium,2021,2016,2024,used,hatchback,hatchback,Petrol,petrol,27995,5.9,litres_per_100km,0,132,5900,540,18,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
ford-fiesta-st-line,Ford,Fiesta,1.0 EcoBoost ST-Line,2019,2016,2023,used,hatchback,supermini,Petrol,petrol,20500,5.4,litres_per_100km,0,121,5200,480,15,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
toyota-corolla-hybrid,Toyota,Corolla,1.8 Hybrid Excel,2024,2019,2026,current,hatchback,family,Petrol Hybrid,petrol,31000,4.6,litres_per_100km,1.3,104,6500,500,15,0.38,Curated UK demo trim estimate using public model range and WLTP style assumptions
toyota-yaris-hybrid-design,Toyota,Yaris,1.5 Hybrid Design,2024,2020,2026,current,hatchback,supermini,Petrol Hybrid,petrol,23500,3.9,litres_per_100km,0.8,92,5700,440,14,0.37,Curated UK demo trim estimate using public model range and WLTP style assumptions
honda-jazz-ehev-advance,Honda,Jazz,e:HEV Advance,2024,2020,2026,current,hatchback,supermini,Petrol Hybrid,petrol,27000,4.5,litres_per_100km,0.9,102,6000,455,15,0.38,Curated UK demo trim estimate using public model range and WLTP style assumptions
nissan-qashqai-digt,Nissan,Qashqai,1.3 DIG-T Acenta Premium,2021,2016,2024,used,suv,crossover,Petrol,petrol,28500,6.2,litres_per_100km,0,142,6600,590,18,0.42,Curated UK demo trim estimate using public model range and WLTP style assumptions
nissan-qashqai-epower,Nissan,Qashqai,e-Power N-Connecta,2024,2022,2026,current,suv,crossover,Petrol Hybrid,petrol,34860,5.3,litres_per_100km,2.1,119,7100,560,22,0.40,Curated UK demo trim estimate using public model range and WLTP style assumptions
kia-sportage-tgdi,Kia,Sportage,1.6 T-GDi GT-Line,2024,2021,2026,current,suv,crossover,Petrol,petrol,33500,6.6,litres_per_100km,0,150,7200,610,20,0.41,Curated UK demo trim estimate using public model range and WLTP style assumptions
hyundai-tucson-hybrid,Hyundai,Tucson,1.6 T-GDi Hybrid Premium,2024,2021,2026,current,suv,crossover,Petrol Hybrid,petrol,38200,5.6,litres_per_100km,1.5,127,7600,600,22,0.40,Curated UK demo trim estimate using public model range and WLTP style assumptions
lexus-nx-350h-premium-plus,Lexus,NX,350h Premium Plus,2024,2021,2026,current,suv,crossover,Petrol Hybrid,petrol,48600,5.7,litres_per_100km,1.6,129,7800,620,32,0.40,Curated UK demo trim estimate using public model range and WLTP style assumptions
bmw-x3-xdrive20d-m-sport,BMW,X3,xDrive20d M Sport,2024,2018,2026,current,suv,crossover,Diesel,diesel,52000,5.8,litres_per_100km,0,152,8800,820,36,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
audi-q5-45-tfsi-sport,Audi,Q5,45 TFSI Sport quattro,2024,2017,2026,current,suv,crossover,Petrol,petrol,52500,8.1,litres_per_100km,0,184,8900,790,37,0.47,Curated UK demo trim estimate using public model range and WLTP style assumptions
mercedes-glc-220d-amg-line,Mercedes-Benz,GLC,220d AMG Line,2024,2022,2026,current,suv,crossover,Diesel,diesel,55900,5.7,litres_per_100km,0,148,9400,850,38,0.47,Curated UK demo trim estimate using public model range and WLTP style assumptions
bmw-320i-m-sport,BMW,3 Series,320i M Sport,2023,2019,2026,current,saloon,compact-executive,Petrol,petrol,40200,6.4,litres_per_100km,0,146,7100,660,30,0.44,Curated UK demo trim estimate using public model range and WLTP style assumptions
bmw-320d-sport,BMW,3 Series,320d Sport,2022,2016,2026,current,saloon,compact-executive,Diesel,diesel,41900,4.9,litres_per_100km,0,128,7200,690,31,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
bmw-520d-m-sport,BMW,5 Series,520d M Sport,2021,2016,2024,used,saloon,executive,Diesel,diesel,46500,5.1,litres_per_100km,0,135,8200,760,34,0.47,Curated UK demo trim estimate using public model range and WLTP style assumptions
audi-a3-tfsi-sport,Audi,A3,35 TFSI Sport,2024,2020,2026,current,hatchback,hatchback,Petrol,petrol,31900,5.9,litres_per_100km,0,133,6400,560,24,0.41,Curated UK demo trim estimate using public model range and WLTP style assumptions
audi-a3-tdi,Audi,A3,35 TDI S Line,2021,2016,2024,used,hatchback,hatchback,Diesel,diesel,34200,4.7,litres_per_100km,0,123,6900,650,26,0.42,Curated UK demo trim estimate using public model range and WLTP style assumptions
audi-q5-tdi-sport,Audi,Q5,40 TDI Sport quattro,2021,2017,2024,used,suv,crossover,Diesel,diesel,47000,6.2,litres_per_100km,0,164,8900,780,37,0.48,Curated UK demo trim estimate using public model range and WLTP style assumptions
vauxhall-corsa-petrol,Vauxhall,Corsa,1.2 Turbo GS,2024,2019,2026,current,hatchback,supermini,Petrol,petrol,19625,5.4,litres_per_100km,0,121,5200,470,12,0.44,Curated UK demo trim estimate using public model range and WLTP style assumptions
renault-clio-tce-techno,Renault,Clio,TCe 90 Techno,2024,2019,2026,current,hatchback,supermini,Petrol,petrol,21800,5.2,litres_per_100km,0,118,5400,475,13,0.42,Curated UK demo trim estimate using public model range and WLTP style assumptions
renault-clio-dci,Renault,Clio,dCi Iconic,2019,2016,2020,used,hatchback,supermini,Diesel,diesel,21800,4.2,litres_per_100km,0,110,5600,520,13,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
skoda-octavia-diesel,Skoda,Octavia,2.0 TDI SE L,2021,2016,2026,current,estate,family,Diesel,diesel,31900,4.5,litres_per_100km,0,119,6900,610,22,0.40,Curated UK demo trim estimate using public model range and WLTP style assumptions
skoda-octavia-estate-tsi,Skoda,Octavia,1.5 TSI SE Technology Estate,2024,2020,2026,current,estate,family,Petrol,petrol,30200,5.7,litres_per_100km,0,130,6600,555,18,0.39,Curated UK demo trim estimate using public model range and WLTP style assumptions
skoda-fabia-tsi,Skoda,Fabia,1.0 TSI SE Comfort,2022,2016,2026,current,hatchback,supermini,Petrol,petrol,19000,5.2,litres_per_100km,0,119,5000,455,11,0.42,Curated UK demo trim estimate using public model range and WLTP style assumptions
peugeot-208-puretech,Peugeot,208,1.2 PureTech Allure,2024,2019,2026,current,hatchback,supermini,Petrol,petrol,22000,5.3,litres_per_100km,0,120,5250,470,14,0.42,Curated UK demo trim estimate using public model range and WLTP style assumptions
peugeot-3008-bluehdi,Peugeot,3008,1.5 BlueHDi Allure,2019,2016,2021,used,suv,crossover,Diesel,diesel,30500,4.8,litres_per_100km,0,128,7200,640,21,0.44,Curated UK demo trim estimate using public model range and WLTP style assumptions
mini-cooper-classic,MINI,Hatch,Cooper Classic,2020,2016,2024,used,hatchback,supermini,Petrol,petrol,23500,5.8,litres_per_100km,0,131,5600,530,20,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
mercedes-a200-amg-line,Mercedes-Benz,A-Class,A200 AMG Line,2023,2018,2026,current,hatchback,compact-executive,Petrol,petrol,34500,6.0,litres_per_100km,0,136,6800,640,27,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
mercedes-c220d-amg-line,Mercedes-Benz,C-Class,C220d AMG Line,2022,2016,2026,current,saloon,executive,Diesel,diesel,48000,5.0,litres_per_100km,0,130,8200,780,35,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
volvo-xc40-b3-plus,Volvo,XC40,B3 Plus,2023,2018,2026,current,suv,crossover,Petrol,petrol,39500,6.7,litres_per_100km,0,153,7600,680,28,0.44,Curated UK demo trim estimate using public model range and WLTP style assumptions
dacia-sandero-tce-essential,Dacia,Sandero,TCe 90 Essential,2024,2021,2026,current,hatchback,supermini,Petrol,petrol,13995,5.3,litres_per_100km,0,120,4800,420,10,0.40,Curated UK demo trim estimate using public model range and WLTP style assumptions
land-rover-evoque-d200,Land Rover,Range Rover Evoque,D200 R-Dynamic,2021,2016,2024,used,suv,crossover,Diesel,diesel,42000,6.3,litres_per_100km,0,166,9000,850,38,0.49,Curated UK demo trim estimate using public model range and WLTP style assumptions
seat-leon-tsi-fr,SEAT,Leon,1.5 TSI FR,2022,2016,2026,current,hatchback,hatchback,Petrol,petrol,28500,5.8,litres_per_100km,0,132,6200,540,19,0.41,Curated UK demo trim estimate using public model range and WLTP style assumptions
cupra-formentor-tsi-v2,Cupra,Formentor,1.5 TSI V2,2023,2020,2026,current,suv,crossover,Petrol,petrol,33500,6.5,litres_per_100km,0,148,7000,610,24,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
mazda-3-skyactiv-g,Mazda,3,2.0 Skyactiv-G Sport Lux,2019,2016,2024,used,hatchback,hatchback,Petrol,petrol,24500,6.0,litres_per_100km,0,136,6100,520,18,0.42,Curated UK demo trim estimate using public model range and WLTP style assumptions
ford-kuga-ecoblue,Ford,Kuga,1.5 EcoBlue Titanium,2020,2016,2022,used,suv,crossover,Diesel,diesel,29500,5.1,litres_per_100km,0,135,7000,650,20,0.45,Curated UK demo trim estimate using public model range and WLTP style assumptions
volkswagen-passat-tdi,Volkswagen,Passat,2.0 TDI SE Nav,2018,2016,2020,used,estate,family,Diesel,diesel,28500,4.6,litres_per_100km,0,120,7000,620,22,0.43,Curated UK demo trim estimate using public model range and WLTP style assumptions
nissan-xtrail-dci,Nissan,X-Trail,1.7 dCi N-Connecta,2018,2016,2021,used,suv,crossover,Diesel,diesel,30500,5.7,litres_per_100km,0,151,7600,700,25,0.46,Curated UK demo trim estimate using public model range and WLTP style assumptions
byd-atto-3-design,BYD,Atto 3,Design,2024,2022,2026,current,suv,crossover,EV,electric,36900,16.4,kwh_per_100km,60.5,0,10300,320,30,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
byd-dolphin-design,BYD,Dolphin,Design,2024,2023,2026,current,hatchback,supermini,EV,electric,30205,15.9,kwh_per_100km,60.4,0,9500,305,26,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
byd-seal-design,BYD,Seal,Design,2024,2023,2026,current,saloon,compact-executive,EV,electric,45695,16.6,kwh_per_100km,82.5,0,11800,380,38,0.48,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
byd-seal-u-comfort,BYD,Seal U,Comfort,2024,2024,2026,current,suv,crossover,EV,electric,42990,18.4,kwh_per_100km,71.8,0,11500,370,32,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
tesla-model-3-performance,Tesla,Model 3,Performance AWD,2024,2024,2026,current,saloon,compact-executive,EV,electric,59990,16.6,kwh_per_100km,79,0,11900,430,50,0.47,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
tesla-model-s-long-range,Tesla,Model S,Long Range AWD,2024,2021,2026,current,fastback,executive,EV,electric,89990,17.4,kwh_per_100km,100,0,14200,540,50,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
tesla-model-x-long-range,Tesla,Model X,Long Range AWD,2024,2022,2026,current,suv,luxury-suv,EV,electric,99990,19.6,kwh_per_100km,100,0,15400,580,50,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
bmw-i5-edrive40,BMW,i5,eDrive40 M Sport,2024,2024,2026,current,saloon,executive,EV,electric,74365,17.5,kwh_per_100km,84,0,13400,510,45,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
bmw-ix-xdrive50,BMW,iX,xDrive50 M Sport,2024,2022,2026,current,suv,luxury-suv,EV,electric,100440,19.5,kwh_per_100km,111.5,0,16100,620,50,0.51,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
bmw-ix3-m-sport,BMW,iX3,M Sport Pro,2024,2021,2025,current,suv,crossover,EV,electric,65495,18.8,kwh_per_100km,80,0,12600,460,43,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
bmw-x1-sdrive20i-m-sport,BMW,X1,sDrive20i M Sport,2024,2022,2026,current,suv,crossover,Petrol,petrol,41435,6.3,litres_per_100km,0,144,6900,580,28,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
bmw-x5-xdrive50e,BMW,X5,xDrive50e M Sport,2024,2023,2026,current,suv,luxury-suv,Petrol Hybrid,petrol,79390,1.4,litres_per_100km,25.7,32,13900,760,50,0.48,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
bmw-118-m-sport,BMW,1 Series,118 M Sport,2024,2019,2026,current,hatchback,compact-executive,Petrol,petrol,32500,6.1,litres_per_100km,0,138,6500,580,25,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
audi-q6-etron-quattro,Audi,Q6 e-tron,quattro,2024,2024,2026,current,suv,luxury-suv,EV,electric,68975,17.3,kwh_per_100km,100,0,13400,530,47,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
audi-q8-etron-50,Audi,Q8 e-tron,50 Sport,2024,2023,2026,current,suv,luxury-suv,EV,electric,71775,21.5,kwh_per_100km,95,0,13900,560,49,0.51,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
audi-etron-gt-quattro,Audi,e-tron GT,quattro,2024,2021,2026,current,fastback,executive,EV,electric,89500,19.2,kwh_per_100km,93.4,0,14000,580,50,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
audi-a1-30-tfsi,Audi,A1,30 TFSI Sport,2023,2018,2025,current,hatchback,supermini,Petrol,petrol,23900,5.3,litres_per_100km,0,121,5400,480,16,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
audi-a4-40-tfsi-sport,Audi,A4,40 TFSI Sport,2023,2016,2025,current,saloon,compact-executive,Petrol,petrol,41500,6.4,litres_per_100km,0,144,7000,660,31,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
audi-a6-40-tdi-sport,Audi,A6,40 TDI Sport,2023,2018,2026,current,saloon,executive,Diesel,diesel,49000,5.4,litres_per_100km,0,142,8200,750,38,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
audi-q3-35-tfsi,Audi,Q3,35 TFSI Sport,2024,2018,2026,current,suv,crossover,Petrol,petrol,38000,6.4,litres_per_100km,0,145,7100,600,24,0.43,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
audi-q7-50-tfsi,Audi,Q7,50 TFSI quattro,2024,2019,2026,current,suv,luxury-suv,Petrol,petrol,67000,9.6,litres_per_100km,0,218,9700,880,47,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mercedes-eqe-300,Mercedes-Benz,EQE,300 AMG Line,2024,2022,2026,current,saloon,executive,EV,electric,74480,17,kwh_per_100km,89,0,13200,520,47,0.51,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mercedes-eqs-450,Mercedes-Benz,EQS,450+ AMG Line,2024,2022,2026,current,saloon,luxury,EV,electric,102640,17.5,kwh_per_100km,108.4,0,15400,620,50,0.53,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mercedes-eqb-300-amg-line,Mercedes-Benz,EQB,300 4MATIC AMG Line,2024,2022,2026,current,suv,crossover,EV,electric,56400,19.7,kwh_per_100km,70.5,0,11700,470,40,0.5,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mercedes-e220-amg-line,Mercedes-Benz,E-Class,E220 AMG Line,2024,2023,2026,current,saloon,executive,Petrol,petrol,56000,6.4,litres_per_100km,0,146,8200,770,41,0.46,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
mercedes-gla-200-amg-line,Mercedes-Benz,GLA,200 AMG Line,2024,2020,2026,current,suv,crossover,Petrol,petrol,38000,6.6,litres_per_100km,0,151,6900,620,26,0.44,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
porsche-taycan-rwd,Porsche,Taycan,RWD,2024,2020,2026,current,fastback,executive,EV,electric,86500,17.6,kwh_per_100km,89,0,13400,620,50,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
porsche-macan-electric,Porsche,Macan,Electric,2024,2024,2026,current,suv,luxury-suv,EV,electric,69800,18.6,kwh_per_100km,100,0,13700,580,49,0.48,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
porsche-cayenne-v6,Porsche,Cayenne,V6,2024,2018,2026,current,suv,luxury-suv,Petrol,petrol,76000,10.5,litres_per_100km,0,240,10100,990,50,0.45,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
polestar-3-long-range,Polestar,3,Long Range Single Motor,2024,2024,2026,current,suv,luxury-suv,EV,electric,73900,18.6,kwh_per_100km,111,0,14200,480,47,0.49,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
polestar-4-long-range,Polestar,4,Long Range Single Motor,2024,2024,2026,current,suv-coupe,compact-executive,EV,electric,59990,17,kwh_per_100km,100,0,13200,460,45,0.48,Curated UK demo trim estimate using public 2024 list price and WLTP style assumptions
